"","Address","Acres","Value","Building.Type","Sales.Price","Map..","Region","X2014","X2016","X2018","X2020","X2022","sqft","bed","bath"
"28","102 Moore St","0.15","$128,500.00 ","Dwelling","$175,000.00 ","23 1 252",5,129000,130300,130500,144400,194100,1104,3,2
"29","103 Mcdowell St","0.18","$371,700.00 ","Dwelling","$384,900.00 ","23 6 3A",6,403500,391900,422600,442100,535000,3085,3,3
"30","103 Oakview Dr","N/A","$173,100.00 ","Dwelling","$210,000.00 ","34 6 9C",3,22200,214900,235800,225300,289000,1680,4,3
"31","103 Tucker St","0.28","$159,900.00 ","Dwelling","$100,000.00 ","24 1 41",2,152100,132400,165800,154500,113400,2200,7,5
"33","103 Willow Ln","0.21","$239,600.00 ","Dwelling","$150,000.00 ","14 1 23A",4,168100,163300,171800,161300,232700,1720,3,2.5
"34","104 Colston Pl","0.64","$338,400.00 ","Dwelling","$300,000.00 ","33 2 77",3,348600,374000,397500,308000,462400,2642,5,3
"37","104 Mccormick St","0.43","$188,900.00 ","Dwelling","$104,000.00 ","40 3 3 3",3,240600,191100,181200,234900,320800,2121,5,3
"38","104 Tucker St","0.061","$94,100.00 ","Dwelling","$115,000.00 ","24 1 22",5,74800,104700,99100,95200,158200,1536,4,2
"39","104 White St","0.82","$524,200.00 ","Dwelling","$585,000.00 ","22 12 5",4,505700,524400,536800,598500,752600,3701,5,4
"40","105 Colonnade Ave","N/A","$198,500.00 ","Dwelling","$129,381.00 ","15 1 1 60",6,226000,216000,238400,233500,154000,1436,3,2
"42","105 Johnstone St","0.74","$371,700.00 ","Dwelling","$375,000.00 ","34 11 20",3,352300,356700,384700,379300,486100,2899,3,3
"44","105 Rebel Ridge Rd","0.35","$204,900.00 ","Dwelling","$190,000.00 ","21 2 17",4,186800,22300,203100,235600,293700,1983,4,2
"45","105 Tucker St","0.24","$88,500.00 ","Dwelling","$18,000.00 ","24 1 40",2,104900,53900,111500,115500,138000,1016,2,1
"46","105 White St","0.14","$416,100.00 ","Dwelling","$457,500.00 ","22 1 28",6,415200,432500,468200,493200,592800,2810,3,3
"47","106 W Preston St","0.27","$329,800.00 ","Dwelling","$335,000.00 ","23 6 2",6,343200,400200,401300,384800,549900,2449,4,2
"48","106 White St","0.29","$490,100.00 ","Dwelling","$380,000.00 ","22 1 20",4,496400,467000,487300,557800,688100,3400,3,3
"49","107 Houston St","0.27","$180,000.00 ","Dwelling","$161,000.00 ","29 1 45",3,191700,166000,195300,202000,260200,1644,3,1
"50","107 Moore St","0.16","$159,000.00 ","Dwelling","$140,000.00 ","23 1 232",5,150500,154100,140800,152200,229700,1456,3,2
"51","107 Paxton St","0.66","$383,400.00 ","Dwelling","$360,000.00 ","34 11 47",3,335900,371500,368700,358200,461200,1865,4,3
"53","107 Tucker St","0.17","$178,100.00 ","Dwelling","$188,500.00 ","24 1 38",2,159700,165100,166500,179000,212800,3264,7,4
"54","107 Varner Ln","0.09","$44,100.00 ","Dwelling","$37,500.00 ","23 10 2A",5,129200,113000,109900,72800,145000,1210,3,2
"55","107 White St","0.19","$410,900.00 ","Dwelling","$489,000.00 ","22 1 27",6,453800,485300,466200,467600,591100,2947,3,3
"58","108 Johnstone St","0.74","$378,300.00 ","Dwelling","$270,000.00 ","28 24 27",3,331100,360800,379500,272500,316600,2891,3,2
"59","108 Moore St","0.17","$98,100.00 ","Dwelling","$80,000.00 ","23 1 249",5,105000,99100,115900,92100,152000,1080,4,1
